Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) CPP,3.000,medium,Match,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) D7 ARPPU,4.000,good,Match,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),Revenue Potential,0.136,,Match,
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) CPP,2.000,good,Match,
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) D7 ARPPU,2.000,bad,Match,
Europe & Middle East (Group 1),DEU,Germany,Revenue Potential,0.052,,Match,
Europe & Middle East (Group 1),FRA,France,(Paid UA) CPP,2.000,good,Match,YES
Europe & Middle East (Group 1),FRA,France,(Paid UA) D7 ARPPU,2.000,bad,Match,YES
Europe & Middle East (Group 1),FRA,France,Revenue Potential,0.022,,Match,YES
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) CPP,2.000,good,Match,
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) D7 ARPPU,3.000,medium,Match,
Europe & Middle East (Group 1),ITA,Italy,Revenue Potential,0.012,,Match,
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) CPP,2.000,good,Match,YES
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) D7 ARPPU,4.000,good,Match,YES
Europe & Middle East (Group 1),ESP,Spain,Revenue Potential,0.008,,Match,YES
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) CPP,3.000,medium,Match,YES
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) D7 ARPPU,4.000,good,Match,YES
Europe & Middle East (Group 1),NLD,Netherlands,Revenue Potential,0.009,,Match,YES
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) CPP,5.000,bad,Match,
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) D7 ARPPU,5.000,good,Match,
Europe & Middle East (Group 1),CHE,Switzerland,Revenue Potential,0.008,,Match,
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) CPP,4.000,bad,Match,YES
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) D7 ARPPU,5.000,good,Match,YES
Europe & Middle East (Group 1),AUT,Austria,Revenue Potential,0.005,,Match,YES
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) CPP,3.000,medium,Match,YES
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) D7 ARPPU,4.000,good,Match,YES
Europe & Middle East (Group 1),BEL,Belgium,Revenue Potential,0.004,,Match,YES
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) CPP,4.000,bad,Match,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) D7 ARPPU,4.000,good,Match,
Europe & Middle East (Group 1),SWE,Sweden,Revenue Potential,0.006,,Match,
Europe & Middle East (Group 1),ISR,Israel,(Paid UA) CPP,5.000,bad,Match,YES
Europe & Middle East (Group 1),ISR,Israel,(Paid UA) D7 ARPPU,5.000,good,Match,YES
Europe & Middle East (Group 1),ISR,Israel,Revenue Potential,0.002,,Match,YES
Europe & Middle East (Group 1),NOR,Norway,(Paid UA) CPP,5.000,bad,Match,YES
Europe & Middle East (Group 1),NOR,Norway,(Paid UA) D7 ARPPU,5.000,good,Match,YES
Europe & Middle East (Group 1),NOR,Norway,Revenue Potential,0.003,,Match,YES
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) CPP,5.000,bad,Match,
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) D7 ARPPU,4.000,good,Match,
Europe & Middle East (Group 1),DNK,Denmark,Revenue Potential,0.003,,Match,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) CPP,3.000,medium,Match,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) D7 ARPPU,2.000,bad,Match,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),Revenue Potential,0.029,,Match,
Europe & Middle East (Group 2),TUR,Turkiye,(Paid UA) CPP,1.000,good,Match,
Europe & Middle East (Group 2),TUR,Turkiye,(Paid UA) D7 ARPPU,1.000,bad,Match,
Europe & Middle East (Group 2),TUR,Turkiye,Revenue Potential,0.005,,Match,
Europe & Middle East (Group 2),POL,Poland,(Paid UA) CPP,2.000,good,Match,YES
Europe & Middle East (Group 2),POL,Poland,(Paid UA) D7 ARPPU,3.000,medium,Match,YES
Europe & Middle East (Group 2),POL,Poland,Revenue Potential,0.006,,Match,YES
Europe & Middle East (Group 2),SAU,Saudi Arabia,(Paid UA) CPP,4.000,bad,Match,
